1;4;4
2;5;5
3;30;8
4;30;6
5;84;10
6;25;9
7;1006;12
8;6225;13
9;26425;14
10;4632;12
11;52544;15
12;387;19
13;805;19
14;316;23
15;1769;23
16;960;29
17;1734;31
18;2009;31
19;862;41
20;422;34
21;584;44
22;2504;44
23;2061;43
24;1092;42
25;14552;49
26;13002;46
27;3445;44
28;3144;52
29;4440;55
30;4848;67
31;8251;53
32;4031;69
33;313;47
34;4646;61
35;5847;69
36;1085;59
37;373;55
38;13828;76
39;7604;74
40;1190;71
41;1470;70
42;173;57
43;1248;66
44;3051;76
45;2035;71
46;1466;80
47;1934;64
48;641;80
49;1587;85
50;2557;93
51;2852;81
52;5630;95
53;3157;99
54;2334;100
55;6727;102
56;6733;110
57;2127;103
